id,commentaire,humeur
63,"Ma journée a été dure, et je ne sais pas pourquoi. Je ne me suis pas sentie aussi bien depuis la mort de ma mère. Et je sais que je n'ai pas été très bon en sport. Mais j'espère que tu as",Motivé
64,"Ma journée a été longue, et je ne suis pas sûr que je vais pouvoir continuer. Je vais juste prendre une pause. J'ai un rendez-vous à la maison. Oh, j'aime bien la compagnie de ta mère. Elle est",Frustré
65,"Ma journée a été dure. Je suis un peu à court de nourriture. Il y a des haricots, des pommes de terre, et des carottes. Et du riz et du maïs. J'ai des biscuits, de la farine et de l'",Relaxé
66,"Ma journée a été longue, mais je ne peux pas te laisser. Je suis en train de mourir, et je suis si heureuse. Tu es heureuse, n'est-ce pas? Je ne suis pas heureuse de te voir souffrir. Il n",Frustré
67,"Ma journée a été longue, mais j'ai eu la chance de voir la tête de ce type. C'est un vrai salaud. Et je suis désolé pour la façon dont je l'avais traité. Mais j'suis désolé que ça ait",Fatigué
68,"Ma journée a été bonne, mais je ne suis pas d'humeur. Tu sais, j'ai eu une journée difficile, et je n'avais pas le temps de me préparer. Je n'suis pas très bon. J'étais en",Frustré
69,"Ma journée a été longue, mais je n'ai pas peur. Je ne veux pas me retrouver avec une autre femme. J'en ai assez de faire des bêtises. Tu as vu comment je me suis battu avec elle. Il y a un",Enervé
70,Ma journée a été un désastre. Je suis désolé de ne pas avoir pu venir à ton mariage. Et je suis content que tu sois là. Mais j'ai une chose à te dire. Tu as eu une vie merveilleuse. Une vie parfaite.,Motivé
71,"Ma journée a été longue, mais je ne suis pas un menteur. Vous avez des problèmes, M. le Président. Et vous avez un problème, n'est-ce pas? Il y a des gens qui ne peuvent pas vous aider. Ils",Stressé
72,"Ma journée a été longue. Je ne peux pas vous laisser faire ça. Vous êtes un homme bien, et je ne veux pas qu'on vous blesse. Si vous voulez que je fasse quelque chose, vous allez devoir faire quelquechose. La dernière",Heureux
73,Ma journée a été si bonne... Je vais vous montrer comment on fait. Vous avez de la chance de vous être trouvés. Je ne veux pas de cette histoire. J'ai fait tout ce que je pouvais pour vous faire changer d'avis.,Stressé
74,"Ma journée a été dure, mais je ne suis pas encore complètement rétablie. Je suis sûre que tu es en train de me dire que j'ai besoin d'un peu de temps pour me remettre. Mais tu sais, je vais aller à la",Enervé
75,Ma journée a été une vraie fête. J'ai pensé que tu aimerais peut-être que je vienne. Je sais que c'est pas ce que j'espérais. Mais je ne sais pas si je pourrai venir. On pourrait aller voir,Paisible
76,"Ma journée a été un peu rude, mais je me suis fait pardonner. Je vais m'occuper de toi, alors. C'est une bonne chose que tu sois là, mon vieux. J'ai eu une mauvaise journée, hier. On",Stressé
77,"Ma journée a été si longue et si remplie de larmes, que je ne me suis pas aperçu que j'étais bien loin de pouvoir la terminer. ""Je ne puis vous exprimer toute ma reconnaissance, monsieur, de la perte que vous avez faite de",Relaxé
78,Ma journée a été dure. J'ai pas pu me décider. Tu as dit que tu avais besoin d'un coup de main. Je suis pas très bon pour ça. Ça te plaît de faire ça? Je vais faire un tour dans le,Motivé
79,"Ma journée a été longue et je n'ai pas pu dormir. J'étais tellement fatiguée et j'avais peur. Je ne peux pas dormir sans être malade. Vous ne pouvez pas vous reposer sans dormir? Vous êtes une femme très malade,",Heureux
80,"Ma journée a été longue, et je ne suis pas fâché que tu aies été en retard. J'ai pensé que nous pourrions nous retrouver à l'hôtel. C'est un peu tôt pour le dire, mais je suis très heureuse de te",Paisible
81,"Ma journée a été terrible. Je suis désolé, j'ai été un peu dur. J'aurais aimé pouvoir te parler. Tu as l'air si... Tu es... si gentille. Il y a un petit problème avec les gens. Mais",Paisible
82,"Ma journée a été si longue, je ne me suis pas rendu compte qu'il fallait que je me rende compte de la journée, mais je n'ai pas pu. Tu n 'as pas à te rendre compte que c'était la première",Paisible
83,"Ma journée a été dure, et je dois aller me coucher. J'ai été si triste que je ne peux pas m'arrêter. Je suis désolée, je vais m... Je dois m 'arrêter! Je ne sais pas ce que tu as",Motivé
84,"Ma journée a été longue, mais je suis contente de t'avoir vue. Tu sais, je me sens bien. J'ai eu une journée super. Je me suis fait beaucoup de soucis. C'est pas le moment de parler de ça",Fatigué
85,"Ma journée a été longue, et je ne veux pas me lever le matin. Je suis désolée, mais je n'ai pas pu dormir la nuit dernière. Il est peut-être temps de me réveiller. Tu as eu un bon dîner, hier",Stressé
86,"Ma journée a été terrible. J'ai dû me tromper de route. Il faut que je m'en aille, je suis en retard. Je suis désolée, mais je dois aller à l'hôpital. Non, vous êtes en avance. On",Stressé
87,"Ma journée a été très bonne. Je n'ai pas eu de nouvelles de toi depuis. Mais tu sais, j'avais un peu peur que tu sois mort. Et j'veux dire, tu ne m'as pas dit que je ne",Heureux
88,"Ma journée a été dure, mais j'ai bien fait de me lever. Je vais aller voir le Dr. Elle va me dire ce qui s'est passé. J'étais dans le coma, et j... j-je... Je me",Content
89,Ma journée a été dure. Je sais que vous avez été très occupés. Mais j'ai été un peu occupé. J'aimerais que tu m'aides à préparer le dîner. Ce n'est pas le moment de faire des plans. Tu,Stressé
90,"Ma journée a été très agréable. Je ne veux pas vous déranger. J'ai été dans le jardin, j'étais en train de faire des jeux. Vous pouvez vous asseoir, s'il vous plaît. Il est juste très occupé. Pourquoi",Paisible
91,Ma journée a été une vraie torture. Je n'ai jamais vu un homme aussi mal à l'aise. Tu as dit que tu avais fait des choses incroyables. Mais je n 'ai pas réalisé que c'était la dernière fois. J,Paisible
92,Ma journée a été longue. Je ne suis pas sûre de ce qui m'attend. Mais j'ai une chose à vous dire. Vous ne voulez pas savoir ce que jai fait pour vous. C'est une question de vie ou de,Relaxé
93,"Ma journée a été une longue journée. Tu as fait une erreur, et je ne te pardonnerai jamais. Je n'ai pas fait de mal à ma mère. J'avais peur qu'elle ne m'oublie. Et je me suis",Heureux
94,"Ma journée a été longue, mais je suis heureux de vous revoir. Je suis content que vous ayez pu venir. J'ai pensé que je pourrais vous aider à vous remettre. C'est juste que... je ne voulais pas être à nouveau dans",Motivé
95,"Ma journée a été longue et pénible. J'ai été très malade, et je n'avais pas de fièvre, mais je suis resté étendu toute la nuit à l'hôpital, à pleurer, comme un enfant. Je n 'avais jamais rien",Fatigué
96,"Ma journée a été longue et pénible, mais je ne vous en veux pas de m'avoir dit cela. Je suis désolé de vous avoir fait attendre, Mme Reed. J'ai cru que vous me trouveriez ici. Vous ne pouvez pas vous",Motivé
97,"Ma journée a été terrible. J'ai cru que je ne me réveillerais jamais. Je ne sais pas si je me souviendrai. Mais je vais bien, merci. C'est une bonne journée, hein? Je vais vous dire, je",Neutre
98,"Ma journée a été terrible, mais je n'ai pas été très heureux. J'étais vraiment triste, je voulais m'excuser. Mais il n y a pas de quoi, là. Je ne voulais pas te blesser, ni te faire de",Paisible
99,"Ma journée a été pénible, mais je vais vous donner la force de faire votre devoir. Je vous demande pardon, monsieur. Vous n'avez pas de quoi payer les funérailles. On noie le poisson. C'est un poisson, je crois",Motivé
100,"Ma journée a été longue, mais je peux te dire que je suis contente que tu sois revenu. Et je veux que tout soit parfait. Tu es le seul qui peut me dire où est mon père. C'est la chose la plus importante que",Paisible
101,"Aujourd'hui, j'ai la chance de voir une de ces créatures se faire dévorer par un lion. Mais jai peur que ça nuise à ma santé. Vous ne savez pas ce que cest. Cest une sorte de... Une",Paisible
102,"Aujourd'hui, j'ai une idée. Je veux que tu fasses un essai pour moi. Tu veux qu'on aille dîner? Tu es très doué, mais je ne peux pas. C'est une soirée entre amis. On peut se",Relaxé
103,"Aujourd'hui, j'ai des problèmes de santé, et je ne peux pas me lever. Je ne veux pas que tu sois là. J'aimerais que vous soyez là, pour une fois. Mais je suis un peu fatiguée. Et je",Content
104,"Aujourd'hui, j'ai une relation avec un autre homme, et je suis en train de le quitter. Je ne peux pas me concentrer sur la partie où il se fait passer pour moi. Tu ne sais pas comment ça marche. Il y",Heureux
105,"Aujourd'hui, j'ai une idée. Tu vas devoir te faire une raison. On va se faire des amis. Je suis un peu inquiet pour toi, mais tu es mon ami. Et tu as besoin de moi. Mais je n'",Paisible
106,"Aujourd'hui, j'ai un travail à faire. J'espère que tu ne vas pas t'ennuyer. Tu as une bonne journée, hein? Je suis contente que ça ne t ait pas ennuyé. Je vais m'amuser,",Stressé
107,"Aujourd'hui, j'ai la chance de voir des gens qui ont le sens de l'humour. Je suis un peu plus drôle que vous. On dirait que tu es un vrai homme. J'aurais dû te dire de ne pas m",Frustré
108,"Aujourd'hui, j'ai un nouveau projet, et je veux que tu le fasses. Je suis en train de me mettre en colère. Tu n'as pas idée à quel point je suis contrariée. C'est juste que je ne",Fatigué
109,"Aujourd'hui, j'ai une nouvelle mission pour toi. C'est la première fois que je vois un visage. Il y a un truc que j'veux te dire. Je sais que t'as pas peur de me le dire,",Heureux
110,"Aujourd'hui, j'ai un peu de mal à me rappeler ce que c'est. Vous êtes sûr que ce n'était pas le même gars? On a eu des rapports de police sur lui. Il avait des problèmes avec sa femme",Neutre
111,"Aujourd'hui, j'ai une petite amie, et je suis heureux qu'elle ait accepté de me voir. Mais je ne veux pas que tu la voies. C'est comme ça qu'll est mort. Tu as dit qu'tu",Paisible
112,"Aujourd'hui, j'ai des amis qui ont besoin d'aide. Je suis un peu à court de temps, mais je vais vous donner un conseil. Il faut que vous preniez le bus. J'aime bien le nom de """,Neutre
113,"Aujourd'hui, j'ai un nouveau projet. Je suis en train de faire un projet de loi. J'aimerais que tu me promettes de ne pas te faire prendre. Il y a un an, tu as eu un accident de voiture",Neutre
114,"Aujourd'hui, j'ai eu des moments difficiles. Je n'avais pas l'impression de vous connaître. J'étais un peu... un petit peu comme vous. Et puis, je me suis mis à vous aimer. Alors, vous",Content
115,"Aujourd'hui, j'ai eu une vie très différente, et je ne sais pas comment j'suis arrivé à la fin de ma vie, mais... j'me suis toujours senti comme... comme si j'disais: ""T'",Heureux
116,"Aujourd'hui, j'ai un problème avec les femmes. Je ne suis pas une femme, je suis une machine. J'étais une vraie machine, mais... je ne pouvais pas la contrôler. Et je l'avais laissée partir. Mais",Fatigué
117,"Aujourd'hui, j'ai un peu de temps pour réfléchir, et je voudrais pouvoir vous aider. Vous savez, ce n'est pas comme si vous aviez été un bon père, vous savez. Je veux dire, je suis un père génial",Neutre
118,"Aujourd'hui, j'ai fait un peu de musique et je me suis rendu compte que je pouvais me libérer de tout ce poids. Je suis devenu un musicien et j ai commencé à faire de la musique. J'aime le jazz. Mais",Frustré
119,"Aujourd'hui, j'ai un ami qui est un peu bizarre. Il a l'air bizarre, mais c'est un bon ami. Et il a des problèmes avec la drogue. Je pense que c""est parce que j""ai",Relaxé
120,"Aujourd'hui, j'ai le temps de faire un petit tour en ville. Je dois aller à la maison pour prendre le train. J'espère que vous n'avez pas à vous inquiéter de moi. Vous avez le droit de me parler",Motivé
121,"Aujourd'hui, j'ai un autre boulot, mais je ne sais pas comment faire. Tu es une fille bien, tu sais. Et tu es un homme très spécial. Je t'aime, et je suis très fière de toi. On",Enervé
122,"Aujourd'hui, j'ai une idée: on peut faire des choses qui sont vraiment bien, qui n'ont pas de prix. Je suis désolé, mais je ne peux pas vous aider. C'est une chose de faire une liste de",Content
123,"Aujourd'hui, j'ai toujours pensé que ce n'était pas une bonne idée de se mettre à l'écart, de s'asseoir et de discuter, mais que si j'me décidais à parler, c'est pour parler",Stressé
124,"Aujourd'hui, j'ai un peu de mal à me souvenir des noms de mes camarades. Je me souviens surtout d'un de ces noms, celui de l'ancien capitaine, qui avait été l'_Artilleur_ de la _",Neutre
125,"Aujourd'hui, j'ai un fils qui s'appelle Charles. Il a été le premier à me demander ce que je voulais faire. Je l'avais trouvé un peu bizarre, mais je suis content que tu sois là. Tu ne devrais",Content
126,"Aujourd'hui, j'ai l'impression de ne pas avoir de vie, de savoir que je ne peux pas vivre sans ça. C'est comme si je me sentais coupable. J'étais vraiment triste. Je me suis dit que si",Stressé
127,"Aujourd'hui, j'ai une idée. On va faire du ski nautique. Tu veux faire un tour sur le lac? C'est un truc de surf. Cadeau de la fille qui a sauté du bateau. J'espère qu'",Content
128,"Aujourd'hui, j'ai toujours voulu faire du ski. C'est la première fois que je vois des hommes faire des skis. Et je suis un peu fatigué. Je vais me promener, je vais m'allonger. J'aimerais bien",Enervé
129,"Aujourd'hui, j'ai vu que c'était une chose, mais je ne peux pas le faire sans elle. Je suis désolé, je suis en retard. J'aimerais pouvoir te parler de quelque chose. Tu ne vas pas me le",Heureux
130,"Aujourd'hui, j'ai vu un tas de gens qui ont été tués, et je me suis demandé si c'était le moment pour eux de se faire des amis. Je me demandais si vous pouviez me donner une bonne raison pour ne pas",Heureux
131,"Aujourd'hui, j'ai le sentiment que ce que jai fait, ce qui m'a sauvé, c'est de ne pas me sentir comme un enfant, de me demander si je suis le fils de Dieu, si Dieu existe vraiment",Neutre
132,"Aujourd'hui, j'ai eu une idée. Je vais aller à la banque, acheter un billet. Vous pouvez vous le payer. Le billet est pour moi. J'en ai assez de la vie. Il y a une autre façon de",Neutre
133,"Aujourd'hui, j'ai été en mesure de faire des recherches sur les origines du peuple des Aborigènes. C'est un phénomène très courant en Australie. Les Abo sont les descendants de tribus aborigène qui ont migré de",Paisible
134,"Aujourd'hui, j'ai une grande idée pour une série de romans policiers. J'aime bien les romans d'espionnage, mais je ne crois pas que ce soit une bonne idée. Et je crois que c'est une mauvaise idée,",Content
135,"Aujourd'hui, j'ai vu les gens se demander pourquoi je n'avais pas encore rencontré ce type. Je me suis dit que si javais été plus près de lui, il aurait pu me dire: ""Je n'suis pas un",Heureux
136,"Aujourd'hui, j'ai été très content de pouvoir me joindre à vous, et je me réjouis d'être à votre disposition. Vous êtes la seule personne à qui je puisse confier mes pensées. Je vous en prie, ne vous gênez",Enervé
137,"Aujourd'hui, j'ai été à la tête d'un groupe d'""anti-fascistes"" qui a fait campagne pour la libération de l'Afrique du Nord. Ils ont écrit une lettre à des journalistes de la BBC pour leur",Relaxé
138,"Aujourd'hui, j'ai une relation avec la femme de mon père. Il y a un mois, elle a été tuée. Je ne veux pas qu'on sache qui elle est. Tu es en train de me dire que tu ne peux",Content
139,"Aujourd'hui, j'ai un nouveau boulot. J'étais dans la même classe que vous. Je vais faire un stage de deux semaines. Vous n'avez pas de quoi payer vos factures. Et si on allait faire une petite balade?",Frustré
140,"Aujourd'hui, j'ai une femme et un enfant. Je suis en pleine campagne, avec un fils. On ne peut pas dire que j'suis un homme. Mais je ne suis pas un animal. J'étais un chien, un",Fatigué
141,"Aujourd'hui, j'ai eu le plaisir de vous rencontrer, M. le comte de Fersen. Je n'oublierai jamais votre présence. Vous avez eu une conversation intéressante avec le général. Nous sommes en pleine guerre. Le général est un",Fatigué
142,"Aujourd'hui, j'ai l'impression que j'suis un homme. J'peux pas faire ça. Je sais pas, je me sens un peu... Tu peux pas m'faire ça, tu peux me faire mal. Tu",Stressé
143,"Aujourd'hui, j'ai la certitude que la vie de mon fils est en danger, et que je ne pourrai plus jamais le revoir. Il y a des moments où j'me sens coupable. Je ne sais pas pourquoi j'suis venue",Relaxé
144,"Aujourd'hui, j'ai des questions à vous poser. J'espère que vous avez une bonne mémoire. Vous avez été à la fac de droit? Non, je suis avocat. Je n'étais pas avocat avant. Mon père était avocat",Paisible
145,"Aujourd'hui, j'ai des amis, je peux les inviter. Je ne suis pas sûre de ce que je fais ici. Tu as vu un truc bizarre? C'est une petite fille. Elle a l'air très jolie. C",Enervé
146,"Aujourd'hui, j'ai une question à te poser. Tu es un peu jeune pour être avec moi. J'étais avec un ami. Il a eu un accident, il y a quelques années. Mais il n'y a pas eu",Motivé
147,"Aujourd'hui, j'ai été le seul à m'occuper de mon frère. Il a été un bon ami. Vous avez vu sa façon de le regarder? Il était un peu... Il ne voulait pas qu'on sache quil était",Stressé
148,"Aujourd'hui, j'ai la conviction que la seule chose qui puisse me faire tenir tête à ces hommes, c'est de me trouver en présence d'un homme qui me tient tête, et qui a une certaine dose de sang-froid",Heureux
149,"Aujourd'hui, j'ai le sentiment que ce n'est pas le moment de parler de mes problèmes personnels. Je ne peux pas vous laisser vous disputer avec moi. Mais vous pouvez m'aider à comprendre ce que vous ressentez. Vous",Content
150,"Aujourd'hui, j'ai été au-dessus de tout. Je ne peux pas vous laisser partir sans me dire au revoir. C'est comme si j... Je me sens comme une personne qui a besoin de moi. Vous n'avez",Relaxé
